Date,Open,High,Low,Close,Adj Close,OpenY,HighY,LowY,OpenYY,HighYY,LowYY
9/1/2023,"1,940.19","1,953.44","1,934.59","1,938.80","1,938.80","1,942.61","1,948.19","1,938.86","1,937.48","1,949.04","1,934.94"
8/31/2023,"1,942.61","1,948.19","1,938.86","1,939.74","1,939.74","1,937.48","1,949.04","1,934.94","1,920.23","1,938.41","1,914.00"
8/30/2023,"1,937.48","1,949.04","1,934.94","1,942.24","1,942.24","1,920.23","1,938.41","1,914.00","1,916.09","1,926.19","1,912.83"
8/29/2023,"1,920.23","1,938.41","1,914.00","1,937.12","1,937.12","1,916.09","1,926.19","1,912.83","1,917.80","1,923.09","1,903.40"
8/28/2023,"1,916.09","1,926.19","1,912.83","1,919.66","1,919.66","1,917.80","1,923.09","1,903.40","1,914.15","1,923.94","1,911.35"
8/25/2023,"1,917.80","1,923.09","1,903.40","1,914.53","1,914.53","1,914.15","1,923.94","1,911.35","1,897.80","1,920.94","1,897.23"
8/24/2023,"1,914.15","1,923.94","1,911.35","1,916.60","1,916.60","1,897.80","1,920.94","1,897.23","1,895.09","1,905.05","1,888.60"
8/23/2023,"1,897.80","1,920.94","1,897.23","1,914.31","1,914.31","1,895.09","1,905.05","1,888.60","1,889.40","1,899.05","1,884.50"
8/22/2023,"1,895.09","1,905.05","1,888.60","1,897.00","1,897.00","1,889.40","1,899.05","1,884.50","1,889.49","1,897.44","1,886.20"
8/21/2023,"1,889.40","1,899.05","1,884.50","1,893.94","1,893.94","1,889.49","1,897.44","1,886.20","1,892.20","1,903.90","1,884.50"
8/18/2023,"1,889.49","1,897.44","1,886.20","1,888.19","1,888.19","1,892.20","1,903.90","1,884.50","1,901.59","1,907.90","1,891.30"
8/17/2023,"1,892.20","1,903.90","1,884.50","1,888.89","1,888.89","1,901.59","1,907.90","1,891.30","1,907.40","1,912.19","1,896.15"
8/16/2023,"1,901.59","1,907.90","1,891.30","1,891.76","1,891.76","1,907.40","1,912.19","1,896.15","1,913.67","1,916.55","1,902.20"
8/15/2023,"1,907.40","1,912.19","1,896.15","1,901.56","1,901.56","1,913.67","1,916.55","1,902.20","1,912.65","1,921.15","1,910.94"
8/14/2023,"1,913.67","1,916.55","1,902.20","1,907.90","1,907.90","1,912.65","1,921.15","1,910.94","1,914.94","1,930.11","1,911.73"
8/11/2023,"1,912.65","1,921.15","1,910.94","1,913.32","1,913.32","1,914.94","1,930.11","1,911.73","1,925.16","1,932.48","1,914.05"
8/10/2023,"1,914.94","1,930.11","1,911.73","1,912.06","1,912.06","1,925.16","1,932.48","1,914.05","1,936.76","1,938.15","1,922.50"
8/9/2023,"1,925.16","1,932.48","1,914.05","1,914.59","1,914.59","1,936.76","1,938.15","1,922.50","1,942.59","1,946.81","1,931.53"
8/8/2023,"1,936.76","1,938.15","1,922.50","1,924.82","1,924.82","1,942.59","1,946.81","1,931.53","1,934.12","1,947.19","1,929.75"
8/7/2023,"1,942.59","1,946.81","1,931.53","1,936.39","1,936.39","1,934.12","1,947.19","1,929.75","1,934.66","1,939.03","1,929.55"
8/4/2023,"1,934.12","1,947.19","1,929.75","1,941.62","1,941.62","1,934.66","1,939.03","1,929.55","1,945.74","1,955.40","1,933.00"
8/3/2023,"1,934.66","1,939.03","1,929.55","1,933.74","1,933.74","1,945.74","1,955.40","1,933.00","1,965.10","1,966.24","1,941.20"
8/2/2023,"1,945.74","1,955.40","1,933.00","1,933.56","1,933.56","1,965.10","1,966.24","1,941.20","1,959.49","1,972.44","1,951.00"
